     CD             CL   
   0.02768859        -0.7149159  
   0.02676241        -0.6968257  
   0.02586015        -0.6787182  
   0.02497835        -0.6605937  
   0.02411532        -0.6424529  
   0.02327348        -0.6242961  
   0.02245583        -0.6061237  
   0.02166119        -0.5879363  
   0.02089002        -0.5697342  
   0.02014178        -0.5515178  
   0.01941652        -0.5332878  
   0.01871333        -0.5150443  
   0.01803271        -0.4967881  
   0.01737462        -0.4785194  
   0.01673953        -0.4602387  
    0.0161272        -0.4419465  
   0.01553822        -0.4236433  
   0.01497344        -0.4053294  
    0.0144336        -0.3870054  
   0.01391694        -0.3686716  
   0.01342334        -0.3503286  
   0.01295072        -0.3319768  
   0.01249899        -0.3136166  
   0.01207059        -0.2952486  
   0.01166554        -0.2768731  
   0.01128974        -0.2584906  
   0.01094062        -0.2401017  
   0.01061694        -0.2217066  
    0.0103162         -0.203306  
   0.01004095        -0.1849002  
  0.009789222        -0.1664897  
  0.009557749         -0.148075  
  0.009347711        -0.1296565  
  0.009160802        -0.1112348  
  0.008995356       -0.09281013  
  0.008853548       -0.07438312  
  0.008730663       -0.05595418  
  0.008623458       -0.03752377  
  0.008544397       -0.01909236  
  0.008491663      -0.000660409  
  0.008463529        0.01777163  
  0.008457433        0.03620329  
   0.00845786        0.05463411  
  0.008476072        0.07306363  
   0.00853069         0.0914914  
  0.008611777         0.1099169  
  0.008716174         0.1283398  
  0.008840714         0.1467595  
  0.008988854         0.1651756  
   0.00916377         0.1835877  
   0.00936258         0.2019952  
  0.009584523         0.2203978  
  0.009828576         0.2387949  
   0.01009373         0.2571861  
   0.01037878          0.275571  
   0.01068549          0.293949  
   0.01098196         0.3123198  
   0.01132245         0.3306829  
   0.01167164         0.3490378  
   0.01204121          0.367384  
   0.01244066         0.3857211  
     0.012865         0.4040487  
   0.01331425         0.4223663  
   0.01378495         0.4406734  
   0.01428647         0.4589697  
   0.01480883         0.4772545  
   0.01535274         0.4955276  
   0.01591721         0.5137884  
   0.01650564         0.5320365  
   0.01711676         0.5502714  
   0.01775109         0.5684927  
   0.01840984            0.5867  
   0.01909004         0.6048927  
    0.0197923         0.6230706  
   0.02051719          0.641233  
    0.0212658         0.6593796  
   0.02203801           0.67751  
   0.02283335         0.6956236  
   0.02364593         0.7137201  
   0.02447009          0.731799  
   0.02531557         0.7498598  
   0.02618953         0.7679022  
   0.02708817         0.7859257  
   0.02801246         0.8039299  
   0.02896315         0.8219143  
   0.02993674         0.8398786  
   0.03093168         0.8578222  
   0.03194937         0.8757447  
   0.03299015         0.8936458  
   0.03405016          0.911525  
    0.0351313         0.9293819  
   0.03623326          0.947216  
   0.03735552         0.9650269  
   0.03849813         0.9828143  
     0.039661          1.000578  
   0.04084474          1.018317  
   0.04204913          1.036031  
   0.04327295           1.05372  
   0.04451419          1.071383  

