Range [NM],Range [km],Payload [kg],Fuel [kg],Take-off Mass [kg],DOC,ASK,Engine Cost Share,Capital,Crew,Maintenance,Fuel,Payload Handling,Landing Fees,ATC Fees
190,351.88,31220.0,473.6377358490572,110525.63773584906,43567806.15309025,0.15706625687718018,0.188,15226246,6843652,7942270,3652491.3229682334,2029506.8688395661,1535132.890946092,6338507.070336368
200,370.40000000000003,31220.0,498.56603773584357,110550.56603773584,43668461.83381452,0.15103266056700368,0.188,15226246,6843652,7906285,3807180.0579798087,2008345.4547206245,1600148.1761247043,6276605.144989383
210,388.92,31220.0,523.4943396226445,110575.49433962264,43767170.458064444,0.14557369227058453,0.188,15226246,6843652,7870996,3958876.6309177373,1987593.3682799323,1663905.86313037,6215900.595736409
220,407.44,31220.0,548.4226415094308,110600.42264150943,43863986.978677705,0.14061099041927727,0.188,15226246,6843652,7836382,4107667.026777993,1967238.846772697,1726442.0912401236,6156359.013886891
230,425.96000000000004,31220.0,573.3509433962317,110625.35094339623,43958967.46592125,0.13607983145858926,0.188,15226246,6843652,7802426,4253633.967244192,1947270.5738752116,1787791.628168862,6097947.296632989
240,444.48,31220.0,598.2792452830181,110650.27924528302,44052162.24295481,0.131926268194761,0.188,15226246,6843652,7769108,4396857.064043709,1927677.658705629,1847987.9345248998,6040633.585680577
250,463.0,31220.0,623.2075471698045,110675.2075471698,44143622.01372779,0.12810499152932553,0.188,15226246,6843652,7736411,4537412.963737674,1908449.6160167945,1907063.2246645198,5984387.209308807
260,481.52000000000004,31220.0,648.1358490566054,110700.1358490566,44233392.98379578,0.12457765559481367,0.188,15226246,6843652,7704316,4675375.484495413,1889576.3474854624,1965048.5241780668,5929178.62763683
270,500.04,31220.0,673.0641509433917,110725.06415094339,44321523.9745106,0.1213116071768997,0.188,15226246,6843652,7672809,4810815.745367278,1871048.1240277386,2021973.7242231197,5874979.380892462
280,518.5600000000001,31220.0,697.9924528301926,110749.99245283019,44408057.53100529,0.11827884580126713,0.188,15226246,6843652,7641872,4943802.2885325495,1852855.5690756654,2077867.6329046693,5821762.040492413
290,537.08,31220.0,722.920754716979,110774.92075471698,44493038.02436118,0.1154552418304108,0.188,15226246,6843652,7611491,5074401.194961295,1834989.642754574,2132758.023887857,5769500.1627574535
300,555.6,31220.0,747.8490566037799,110799.84905660378,44576505.74832261,0.11281987658896817,0.188,15226246,6843652,7581650,5202676.193903516,1817441.6269050813,2186671.682415636,5718168.245098385
310,574.12,31220.0,772.7773584905663,110824.77735849057,44658502.01089284,0.11035453660406018,0.188,15226246,6843652,7552336,5328688.766583392,1800203.1108976125,2239634.4488915526,5667741.684520281
320,592.64,31220.0,797.7056603773526,110849.70566037735,44739064.22112707,0.10804327915923781,0.188,15226246,6843652,7523534,5452498.244456335,1783265.978190933,2291671.2601766298,5618196.738303174
330,611.1600000000001,31220.0,822.6339622641535,110874.63396226415,44818230.971411936,0.1058720998470445,0.188,15226246,6843652,7495232,5574161.902356175,1766622.393589578,2342806.188739031,5569510.486727147
340,629.6800000000001,31220.0,847.5622641509399,110899.56226415094,44896036.11550338,0.10382863394573165,0.188,15226246,6843652,7467415,5693735.046840779,1750264.7911581304,2393062.479785619,5521660.79771885
350,648.2,31220.0,872.4905660377408,110924.49056603774,44972516.8425773,0.10190194001589936,0.188,15226246,6843652,7440073,5811271.100023398,1734185.8627531931,2442462.5864957725,5474626.293304942
360,666.72,31220.0,897.4188679245271,110949.41886792453,45047704.747525886,0.10008228269625548,0.188,15226246,6843652,7413192,5926821.679154182,1718378.5471365312,2491028.2034696257,5428386.317765548
370,685.24,31220.0,922.3471698113135,110974.34716981131,45121633.89772283,0.09836098679419247,0.188,15226246,6843652,7386762,6040436.672203948,1702836.0196353083,2538780.2984954473,5382920.907388129
380,703.76,31220.0,947.2754716981144,110999.27547169811,45194334.89646037,0.09673028530354132,0.188,15226246,6843652,7360771,6152164.309680224,1687551.6823176115,2585739.142733868,5338210.761728663
390,722.2800000000001,31220.0,972.2037735849008,111024.2037735849,45265837.94325087,0.09518320910547787,0.188,15226246,6843652,7335208,6262051.232893802,1672519.1546535578,2631924.3394102575,5294237.216293255
400,740.8000000000001,31220.0,997.1320754717017,111049.1320754717,45336171.89117336,0.09371348524996878,0.188,15226246,6843652,7310062,6370142.558879688,1657732.264634191,2677354.851100557,5250982.216558924
410,759.32,31220.0,1022.060377358488,111074.06037735849,45405367.30143018,0.0923154581565563,0.188,15226246,6843652,7285325,6476481.942159968,1643185.04032223,2722049.025690376,5208428.293257606
420,777.84,31220.0,1046.988679245289,111098.98867924529,45473449.495273724,0.09098400235353385,0.188,15226246,6843652,7260985,6581111.633529125,1628871.7018103313,2766024.621081995,5166558.538852272
430,796.36,31220.0,1071.9169811320753,111123.91698113208,45540445.6034471,0.08971447431315681,0.188,15226246,6843652,7237033,6684072.536025117,1614786.6535641565,2809298.828719181,5125356.58513865
440,814.88,31220.0,1096.8452830188617,111148.84528301886,45606381.613279216,0.08850265209385372,0.188,15226246,6843652,7213460,6785404.258244863,1600924.477128896,2851888.295995283,5084806.5819101725
450,833.4000000000001,31220.0,1121.7735849056626,111173.77358490566,45671282.413560845,0.08734468849731739,0.188,15226246,6843652,7190257,6885145.165147822,1587279.924179305,2893809.147605963,5044893.176627749
460,851.9200000000001,31220.0,1146.701886792449,111198.70188679245,45735172.83732371,0.08623707222111544,0.188,15226246,6843652,7167416,6983332.42648551,1573847.9098945141,2935077.0059041088,5005601.495039581
470,870.44,31220.0,1171.6301886792498,111223.63018867925,45798075.702636816,0.08517658847729569,0.188,15226246,6843652,7144928,7080002.062986234,1560623.506640039,2975707.0103109055,4966917.122699636
480,888.96,31220.0,1196.5584905660362,111248.55849056604,45860012.85152414,0.08416028987024718,0.188,15226246,6843652,7122784,7175188.990413407,1547601.937940512,3015713.835833727,4928826.087336491
490,907.48,31220.0,1221.486792452837,111273.48679245284,45921008.18710674,0.0831854745462409,0.188,15226246,6843652,7100978,7268927.061613367,1534778.5727276334,3055111.710738433,4891314.842027314
500,926.0,31220.0,1246.4150943396235,111298.41509433962,45981081.70906027,0.08224965110927224,0.188,15226246,6843652,7079501,7361249.106656309,1522148.919848804,3093914.4334207987,4854370.2491343515
510,944.5200000000001,31220.0,1271.3433962264098,111323.34339622641,46040254.54747873,0.08135052662398136,0.188,15226246,6843652,7058346,7452186.971172963,1509708.6228227452,3132135.3885190636,4817979.564963954
520,963.0400000000001,31220.0,1296.2716981132107,111348.27169811321,46098546.995225824,0.08048598417090004,0.188,15226246,6843652,7037506,7541771.552978939,1497453.4548292577,3169787.562307164,4782130.425110462
530,981.5600000000001,31220.0,1321.199999999997,111373.2,46155978.538852505,0.07965406624117832,0.188,15226246,6843652,7016974,7630032.837076081,1485379.3139210036,3206883.55740582,4746810.830449597
540,1000.08,31220.0,1346.128301886798,111398.1283018868,46212567.888155326,0.07885295997634312,0.188,15226246,6843652,6996743,7716999.929114948,1473482.2184459174,3243435.606846483,4712009.133747979
550,1018.6,31220.0,1371.0566037735844,111423.05660377358,46268333.00444284,0.0780809840182628,0.188,15226246,6843652,6976806,7802701.087394787,1461758.3026695224,3279455.587521124,4677714.026857407
560,1037.1200000000001,31220.0,1395.9849056603707,111447.98490566037,46323293.12757766,0.07733658010703952,0.188,15226246,6843652,6957158,7887163.753477398,1450203.812587032,3314955.0330489227,4643914.528464313
570,1055.64,31220.0,1420.9132075471716,111472.91320754717,46377463.801853836,0.0766182941411398,0.188,15226246,6843652,6937791,7970414.58148248,1438815.1019157153,3349945.1460891278,4610599.972366513
580,1074.16,31220.0,1445.841509433958,111497.84150943396,46430862.90076824,0.07592477683484987,0.188,15226246,6843652,6918700,8052479.466131013,1427588.628258529,3384436.810127724,4577759.996250975
590,1092.68,31220.0,1470.769811320759,111522.76981132076,46483507.65074169,0.07525477015045785,0.188,15226246,6843652,6899880,8133383.569599428,1416520.949430544,3418440.600763938,4545384.53094778
600,1111.2,31220.0,1495.6981132075452,111547.69811320755,46535411.653839305,0.07460709488455444,0.188,15226246,6843652,6881323,8213151.347241084,1405608.7199401637,3451966.796521172,4513463.790136889
610,1129.72,31220.0,1520.6264150943462,111572.62641509435,46586592.90954149,0.07398065674428682,0.188,15226246,6843652,6863026,8291806.572232741,1394848.6876175706,3485025.389205592,4481988.260485584
620,1148.24,31220.0,1545.5547169811325,111597.55471698113,46637063.83560898,0.07337442403905557,0.188,15226246,6843652,6844981,8369372.359195663,1384237.6903832774,3517626.0938342847,4450948.692195753
630,1166.76,31220.0,1570.4830188679189,111622.48301886792,46686841.2880881,0.07278743803458013,0.188,15226246,6843652,6827185,8445871.186843138,1373772.653150018,3549778.358153717,4420336.089941218
640,1185.28,31220.0,1595.4113207547198,111647.41132075472,46735939.580495246,0.0722187967003052,0.188,15226246,6843652,6809633,8521324.919699011,1363450.5848516233,3581491.371768081,4390141.7041765265
650,1203.8,31220.0,1620.3396226415061,111672.3396226415,46784370.50222055,0.07166765024364657,0.188,15226246,6843652,6792318,8595754.82893213,1353268.5755928394,3612774.074896063,4360357.02279952
660,1222.3200000000002,31220.0,1645.267924528307,111697.2679245283,46832149.33618808,0.07113320616359677,0.188,15226246,6843652,6775237,8669181.612349171,1343223.7939143784,3643635.166773539,4330973.763150996
670,1240.8400000000001,31220.0,1670.1962264150934,111722.1962264151,46879287.87580572,0.07061471463272048,0.188,15226246,6843652,6758384,8741625.413583374,1333313.4841678238,3674083.1137188203,4301983.864335698
680,1259.3600000000001,31220.0,1695.1245283018798,111747.12452830188,46925800.4412399,0.07011147417493026,0.188,15226246,6843652,6741756,8813105.840518888,1323534.963995245,3704126.1568761277,4273379.479849637
690,1277.88,31220.0,1720.0528301886807,111772.05283018868,46971697.89504471,0.0696228194152467,0.188,15226246,6843652,6725347,8883641.982984189,1313885.6219087134,3733772.3196521914,4245152.970499615
700,1296.4,31220.0,1744.981132075467,111796.98113207547,47016992.65717555,0.06914812570991427,0.188,15226246,6843652,6709153,8953252.429748876,1304362.9149651085,3763029.4148600525,4217296.897601509
710,1314.92,31220.0,1769.909433962268,111821.90943396227,47061697.719416305,0.06868680491364672,0.188,15226246,6843652,6693171,9021955.284856396,1294964.3665318703,3791905.05158345,4189804.016444594
720,1333.44,31220.0,1794.8377358490543,111846.83773584905,47105823.659244865,0.06823829854607169,0.188,15226246,6843652,6677396,9089768.183320964,1285687.5641395869,3820406.6417744416,4162667.270009871
730,1351.96,31220.0,1819.7660377358552,111871.76603773586,47149380.65316425,0.06780207854340241,0.188,15226246,6843652,6661823,9156708.306219568,1276530.1574174818,3848541.4065962913,4135879.7829309106
740,1370.48,31220.0,1844.6943396226416,111896.69433962264,47192381.48952133,0.06737764948643125,0.188,15226246,6843652,6646450,9222792.395203818,1267489.8561081188,3876316.3825230054,4109434.855686396
750,1389.0,31220.0,1869.622641509428,111921.62264150943,47234835.580837876,0.06696453805316953,0.188,15226246,6843652,6631272,9288036.766459683,1258564.4281577752,3903738.4272063663,4083325.959014054
760,1407.52,31220.0,1894.5509433962288,111946.55094339623,47276753.97567379,0.06656229847139616,0.188,15226246,6843652,6616286,9352457.324137734,1249751.6978791605,3930814.225120716,4057546.728536182
